Date,30-39
2022-01-01,1406
2022-01-02,1682
2022-01-03,2626
2022-01-04,3025
2022-01-05,3827
2022-01-06,3814
2022-01-07,10367
2022-01-08,8772
2022-01-09,6761
2022-01-10,7052
2022-01-11,7395
2022-01-12,6959
2022-01-13,6482
2022-01-14,4840
2022-01-15,5464
2022-01-16,4376
2022-01-17,4186
2022-01-18,4394
2022-01-19,4456
2022-01-20,3752
2022-01-21,3182
2022-01-22,2441
2022-01-23,2337
2022-01-24,2989
2022-01-25,2756
2022-01-26,2894
2022-01-27,2673
2022-01-28,2424
2022-01-29,2099
2022-01-30,2004
2022-01-31,2105
2022-02-01,2658
2022-02-02,2253
2022-02-03,2004
2022-02-04,1403
2022-02-05,1289
2022-02-06,1420
2022-02-07,1669
2022-02-08,1714
2022-02-09,1702
2022-02-10,1580
2022-02-11,1232
2022-02-12,1212
2022-02-13,1135
2022-02-14,1359
2022-02-15,1378
2022-02-16,1486
2022-02-17,1226
2022-02-18,1075
2022-02-19,864
2022-02-20,957
2022-02-21,1078
2022-02-22,1147
2022-02-23,1134
2022-02-24,1135
2022-02-25,916
2022-02-26,748
2022-02-27,810
2022-02-28,891
2022-03-01,999
2022-03-02,1025
2022-03-03,927
2022-03-04,769
2022-03-05,685
2022-03-06,713
2022-03-07,918
2022-03-08,1055
2022-03-09,1211
2022-03-10,1046
2022-03-11,961
2022-03-12,799
2022-03-13,824
2022-03-14,1057
2022-03-15,1408
2022-03-16,1681
2022-03-17,1587
2022-03-18,1299
2022-03-19,1106
2022-03-20,1153
2022-03-21,1516
2022-03-22,1781
2022-03-23,1750
2022-03-24,1582
2022-03-25,1425
2022-03-26,1235
2022-03-27,1370
2022-03-28,1749
2022-03-29,1983
2022-03-30,2064
2022-03-31,1828
2022-04-01,1543
2022-04-02,1385
2022-04-03,1550
2022-04-04,1821
2022-04-05,2235
2022-04-06,2277
2022-04-07,2051
2022-04-08,1684
