Date,40-49
2022-01-01,605
2022-01-02,800
2022-01-03,1263
2022-01-04,1628
2022-01-05,1863
2022-01-06,1906
2022-01-07,5285
2022-01-08,5000
2022-01-09,4054
2022-01-10,4522
2022-01-11,4734
2022-01-12,4562
2022-01-13,4406
2022-01-14,3531
2022-01-15,3936
2022-01-16,3279
2022-01-17,2955
2022-01-18,3093
2022-01-19,2949
2022-01-20,2510
2022-01-21,2228
2022-01-22,1863
2022-01-23,1606
2022-01-24,2011
2022-01-25,1933
2022-01-26,1779
2022-01-27,1803
2022-01-28,1603
2022-01-29,1537
2022-01-30,1417
2022-01-31,1503
2022-02-01,1713
2022-02-02,1519
2022-02-03,1387
2022-02-04,975
2022-02-05,887
2022-02-06,1055
2022-02-07,1167
2022-02-08,1296
2022-02-09,1283
2022-02-10,1159
2022-02-11,1003
2022-02-12,962
2022-02-13,938
2022-02-14,999
2022-02-15,1011
2022-02-16,1175
2022-02-17,1037
2022-02-18,941
2022-02-19,732
2022-02-20,752
2022-02-21,953
2022-02-22,957
2022-02-23,1031
2022-02-24,921
2022-02-25,820
2022-02-26,674
2022-02-27,768
2022-02-28,782
2022-03-01,917
2022-03-02,994
2022-03-03,915
2022-03-04,855
2022-03-05,704
2022-03-06,776
2022-03-07,986
2022-03-08,1095
2022-03-09,1259
2022-03-10,1059
2022-03-11,947
2022-03-12,791
2022-03-13,877
2022-03-14,1106
2022-03-15,1453
2022-03-16,1512
2022-03-17,1432
2022-03-18,1237
2022-03-19,1021
2022-03-20,1176
2022-03-21,1432
2022-03-22,1526
2022-03-23,1546
2022-03-24,1414
2022-03-25,1194
2022-03-26,1202
2022-03-27,1305
2022-03-28,1636
2022-03-29,1809
2022-03-30,1780
2022-03-31,1679
2022-04-01,1470
2022-04-02,1264
2022-04-03,1436
2022-04-04,1576
2022-04-05,1874
2022-04-06,1884
2022-04-07,1730
2022-04-08,1456
