Date,20-29
2022-01-01,2784
2022-01-02,3294
2022-01-03,5372
2022-01-04,7046
2022-01-05,9464
2022-01-06,9179
2022-01-07,19543
2022-01-08,14764
2022-01-09,11146
2022-01-10,11079
2022-01-11,10040
2022-01-12,8775
2022-01-13,7360
2022-01-14,5288
2022-01-15,5446
2022-01-16,4194
2022-01-17,3765
2022-01-18,4074
2022-01-19,3794
2022-01-20,3355
2022-01-21,2560
2022-01-22,2071
2022-01-23,1842
2022-01-24,2410
2022-01-25,2291
2022-01-26,2439
2022-01-27,2277
2022-01-28,2116
2022-01-29,1700
2022-01-30,1617
2022-01-31,1906
2022-02-01,3085
2022-02-02,2360
2022-02-03,1730
2022-02-04,1105
2022-02-05,1006
2022-02-06,1024
2022-02-07,1263
2022-02-08,1366
2022-02-09,1347
2022-02-10,1158
2022-02-11,877
2022-02-12,855
2022-02-13,744
2022-02-14,854
2022-02-15,1015
2022-02-16,1175
2022-02-17,901
2022-02-18,753
2022-02-19,572
2022-02-20,555
2022-02-21,791
2022-02-22,894
2022-02-23,935
2022-02-24,883
2022-02-25,739
2022-02-26,681
2022-02-27,716
2022-02-28,897
2022-03-01,1154
2022-03-02,1304
2022-03-03,1112
2022-03-04,844
2022-03-05,686
2022-03-06,694
2022-03-07,926
2022-03-08,1027
2022-03-09,1238
2022-03-10,1002
2022-03-11,767
2022-03-12,647
2022-03-13,638
2022-03-14,808
2022-03-15,1371
2022-03-16,1563
2022-03-17,1673
2022-03-18,1403
2022-03-19,1006
2022-03-20,1092
2022-03-21,1409
2022-03-22,1760
2022-03-23,1821
2022-03-24,1517
2022-03-25,1294
2022-03-26,938
2022-03-27,1132
2022-03-28,1465
2022-03-29,1761
2022-03-30,1742
2022-03-31,1530
2022-04-01,1217
2022-04-02,1017
2022-04-03,1069
2022-04-04,1431
2022-04-05,1764
2022-04-06,1842
2022-04-07,1650
2022-04-08,1290
