Date,50-59
2022-01-01,608
2022-01-02,743
2022-01-03,1274
2022-01-04,1421
2022-01-05,1715
2022-01-06,1615
2022-01-07,4274
2022-01-08,4190
2022-01-09,3422
2022-01-10,3827
2022-01-11,3815
2022-01-12,3717
2022-01-13,3604
2022-01-14,2602
2022-01-15,3205
2022-01-16,2495
2022-01-17,2243
2022-01-18,2159
2022-01-19,2120
2022-01-20,1865
2022-01-21,1554
2022-01-22,1303
2022-01-23,1132
2022-01-24,1324
2022-01-25,1223
2022-01-26,1281
2022-01-27,1135
2022-01-28,1034
2022-01-29,859
2022-01-30,821
2022-01-31,991
2022-02-01,1134
2022-02-02,960
2022-02-03,897
2022-02-04,584
2022-02-05,556
2022-02-06,590
2022-02-07,672
2022-02-08,671
2022-02-09,652
2022-02-10,595
2022-02-11,505
2022-02-12,523
2022-02-13,474
2022-02-14,519
2022-02-15,485
2022-02-16,561
2022-02-17,437
2022-02-18,423
2022-02-19,340
2022-02-20,400
2022-02-21,432
2022-02-22,442
2022-02-23,470
2022-02-24,430
2022-02-25,410
2022-02-26,334
2022-02-27,348
2022-02-28,426
2022-03-01,479
2022-03-02,567
2022-03-03,486
2022-03-04,466
2022-03-05,431
2022-03-06,429
2022-03-07,518
2022-03-08,546
2022-03-09,682
2022-03-10,573
2022-03-11,529
2022-03-12,436
2022-03-13,475
2022-03-14,629
2022-03-15,771
2022-03-16,877
2022-03-17,826
2022-03-18,702
2022-03-19,621
2022-03-20,700
2022-03-21,886
2022-03-22,1030
2022-03-23,1032
2022-03-24,947
2022-03-25,872
2022-03-26,736
2022-03-27,850
2022-03-28,1083
2022-03-29,1164
2022-03-30,1181
2022-03-31,1111
2022-04-01,1008
2022-04-02,898
2022-04-03,964
2022-04-04,1158
2022-04-05,1237
2022-04-06,1322
2022-04-07,1337
2022-04-08,1045
