Date,80-89
2022-01-01,58
2022-01-02,88
2022-01-03,134
2022-01-04,98
2022-01-05,96
2022-01-06,130
2022-01-07,243
2022-01-08,260
2022-01-09,212
2022-01-10,304
2022-01-11,298
2022-01-12,338
2022-01-13,320
2022-01-14,256
2022-01-15,393
2022-01-16,274
2022-01-17,294
2022-01-18,312
2022-01-19,268
2022-01-20,289
2022-01-21,301
2022-01-22,171
2022-01-23,184
2022-01-24,201
2022-01-25,190
2022-01-26,187
2022-01-27,194
2022-01-28,157
2022-01-29,120
2022-01-30,105
2022-01-31,122
2022-02-01,138
2022-02-02,137
2022-02-03,106
2022-02-04,86
2022-02-05,81
2022-02-06,70
2022-02-07,78
2022-02-08,89
2022-02-09,127
2022-02-10,121
2022-02-11,77
2022-02-12,76
2022-02-13,50
2022-02-14,85
2022-02-15,59
2022-02-16,53
2022-02-17,84
2022-02-18,53
2022-02-19,30
2022-02-20,37
2022-02-21,45
2022-02-22,55
2022-02-23,45
2022-02-24,50
2022-02-25,53
2022-02-26,31
2022-02-27,57
2022-02-28,51
2022-03-01,44
2022-03-02,49
2022-03-03,53
2022-03-04,36
2022-03-05,49
2022-03-06,42
2022-03-07,71
2022-03-08,49
2022-03-09,58
2022-03-10,58
2022-03-11,56
2022-03-12,48
2022-03-13,39
2022-03-14,66
2022-03-15,75
2022-03-16,85
2022-03-17,76
2022-03-18,77
2022-03-19,89
2022-03-20,68
2022-03-21,93
2022-03-22,114
2022-03-23,113
2022-03-24,113
2022-03-25,119
2022-03-26,103
2022-03-27,99
2022-03-28,149
2022-03-29,147
2022-03-30,151
2022-03-31,129
2022-04-01,141
2022-04-02,149
2022-04-03,133
2022-04-04,185
2022-04-05,187
2022-04-06,227
2022-04-07,218
2022-04-08,198
