Date,60-69
2022-01-01,342
2022-01-02,395
2022-01-03,640
2022-01-04,793
2022-01-05,878
2022-01-06,793
2022-01-07,1995
2022-01-08,2014
2022-01-09,1731
2022-01-10,1832
2022-01-11,2057
2022-01-12,2101
2022-01-13,1918
2022-01-14,1536
2022-01-15,1950
2022-01-16,1522
2022-01-17,1400
2022-01-18,1405
2022-01-19,1455
2022-01-20,1197
2022-01-21,1143
2022-01-22,872
2022-01-23,747
2022-01-24,945
2022-01-25,833
2022-01-26,827
2022-01-27,726
2022-01-28,715
2022-01-29,608
2022-01-30,535
2022-01-31,591
2022-02-01,698
2022-02-02,532
2022-02-03,551
2022-02-04,397
2022-02-05,367
2022-02-06,385
2022-02-07,382
2022-02-08,428
2022-02-09,387
2022-02-10,371
2022-02-11,317
2022-02-12,360
2022-02-13,277
2022-02-14,257
2022-02-15,250
2022-02-16,278
2022-02-17,260
2022-02-18,239
2022-02-19,182
2022-02-20,192
2022-02-21,205
2022-02-22,272
2022-02-23,292
2022-02-24,283
2022-02-25,220
2022-02-26,186
2022-02-27,206
2022-02-28,238
2022-03-01,212
2022-03-02,270
2022-03-03,238
2022-03-04,247
2022-03-05,207
2022-03-06,224
2022-03-07,232
2022-03-08,275
2022-03-09,353
2022-03-10,342
2022-03-11,261
2022-03-12,238
2022-03-13,250
2022-03-14,311
2022-03-15,387
2022-03-16,449
2022-03-17,445
2022-03-18,425
2022-03-19,403
2022-03-20,386
2022-03-21,499
2022-03-22,596
2022-03-23,594
2022-03-24,566
2022-03-25,531
2022-03-26,501
2022-03-27,521
2022-03-28,613
2022-03-29,792
2022-03-30,780
2022-03-31,662
2022-04-01,649
2022-04-02,635
2022-04-03,624
2022-04-04,722
2022-04-05,876
2022-04-06,879
2022-04-07,846
2022-04-08,744
