Date,0-9
2022-01-01,389
2022-01-02,459
2022-01-03,654
2022-01-04,805
2022-01-05,776
2022-01-06,743
2022-01-07,2130
2022-01-08,2229
2022-01-09,1901
2022-01-10,2287
2022-01-11,2564
2022-01-12,2521
2022-01-13,2610
2022-01-14,2117
2022-01-15,2979
2022-01-16,2549
2022-01-17,2316
2022-01-18,2350
2022-01-19,2404
2022-01-20,2137
2022-01-21,2245
2022-01-22,1971
2022-01-23,1800
2022-01-24,2281
2022-01-25,1925
2022-01-26,1949
2022-01-27,1787
2022-01-28,1828
2022-01-29,1621
2022-01-30,1600
2022-01-31,1831
2022-02-01,1900
2022-02-02,1709
2022-02-03,1867
2022-02-04,1483
2022-02-05,1379
2022-02-06,1792
2022-02-07,2132
2022-02-08,1927
2022-02-09,1694
2022-02-10,1563
2022-02-11,1452
2022-02-12,1424
2022-02-13,1559
2022-02-14,1838
2022-02-15,1681
2022-02-16,1625
2022-02-17,1274
2022-02-18,1220
2022-02-19,961
2022-02-20,1168
2022-02-21,1389
2022-02-22,1311
2022-02-23,1085
2022-02-24,1039
2022-02-25,1016
2022-02-26,790
2022-02-27,939
2022-02-28,1094
2022-03-01,976
2022-03-02,822
2022-03-03,851
2022-03-04,721
2022-03-05,619
2022-03-06,756
2022-03-07,1001
2022-03-08,846
2022-03-09,860
2022-03-10,844
2022-03-11,770
2022-03-12,685
2022-03-13,749
2022-03-14,1036
2022-03-15,1200
2022-03-16,1120
2022-03-17,977
2022-03-18,866
2022-03-19,787
2022-03-20,917
2022-03-21,1167
2022-03-22,1110
2022-03-23,1032
2022-03-24,979
2022-03-25,969
2022-03-26,948
2022-03-27,1131
2022-03-28,1409
2022-03-29,1370
2022-03-30,1210
2022-03-31,1133
2022-04-01,1006
2022-04-02,999
2022-04-03,1169
2022-04-04,1470
2022-04-05,1329
2022-04-06,1213
2022-04-07,1187
2022-04-08,1069
