Date,70-79
2022-01-01,180
2022-01-02,174
2022-01-03,261
2022-01-04,301
2022-01-05,342
2022-01-06,320
2022-01-07,704
2022-01-08,698
2022-01-09,643
2022-01-10,695
2022-01-11,741
2022-01-12,818
2022-01-13,859
2022-01-14,663
2022-01-15,922
2022-01-16,755
2022-01-17,597
2022-01-18,641
2022-01-19,718
2022-01-20,557
2022-01-21,540
2022-01-22,454
2022-01-23,339
2022-01-24,464
2022-01-25,409
2022-01-26,407
2022-01-27,375
2022-01-28,374
2022-01-29,336
2022-01-30,264
2022-01-31,272
2022-02-01,348
2022-02-02,282
2022-02-03,295
2022-02-04,196
2022-02-05,221
2022-02-06,145
2022-02-07,173
2022-02-08,174
2022-02-09,200
2022-02-10,184
2022-02-11,155
2022-02-12,176
2022-02-13,127
2022-02-14,128
2022-02-15,148
2022-02-16,130
2022-02-17,145
2022-02-18,121
2022-02-19,101
2022-02-20,81
2022-02-21,110
2022-02-22,136
2022-02-23,137
2022-02-24,130
2022-02-25,152
2022-02-26,105
2022-02-27,105
2022-02-28,101
2022-03-01,117
2022-03-02,124
2022-03-03,128
2022-03-04,137
2022-03-05,102
2022-03-06,136
2022-03-07,117
2022-03-08,150
2022-03-09,174
2022-03-10,155
2022-03-11,153
2022-03-12,127
2022-03-13,144
2022-03-14,162
2022-03-15,191
2022-03-16,204
2022-03-17,205
2022-03-18,235
2022-03-19,216
2022-03-20,216
2022-03-21,266
2022-03-22,311
2022-03-23,371
2022-03-24,305
2022-03-25,275
2022-03-26,259
2022-03-27,307
2022-03-28,293
2022-03-29,377
2022-03-30,372
2022-03-31,364
2022-04-01,348
2022-04-02,329
2022-04-03,322
2022-04-04,421
2022-04-05,475
2022-04-06,502
2022-04-07,525
2022-04-08,488
