agegroup,Sex,Cases,Cases_Male,Active_Cases,Daily_Recovered,Date,Cases_Female
50-59,Male,0,0,0,0,11/26/2020,0
50-59,Male,0,0,0,0,11/27/2020,0
50-59,Male,0,0,0,0,11/28/2020,0
50-59,Male,0,0,0,0,11/29/2020,0
50-59,Male,0,0,0,0,11/30/2020,0
50-59,Male,0,0,0,0,12/1/2020,0
50-59,Male,0,0,0,0,12/2/2020,0
50-59,Male,0,0,0,0,12/3/2020,0
50-59,Male,0,0,0,0,12/4/2020,0
50-59,Male,0,0,0,0,12/5/2020,0
50-59,Male,0,0,0,0,12/6/2020,0
50-59,Male,0,0,0,0,12/7/2020,0
50-59,Male,0,0,0,0,12/8/2020,0
50-59,Male,0,0,0,0,12/9/2020,0
50-59,Male,0,0,0,0,12/10/2020,0
50-59,Male,1,1,1,,12/11/2020,0
50-59,Male,,,1,,12/12/2020,0
50-59,Male,,,1,,12/13/2020,0
50-59,Male,,,1,,12/14/2020,0
50-59,Male,,,1,,12/15/2020,0
50-59,Male,,,1,,12/16/2020,0
50-59,Male,,,1,,12/17/2020,0
50-59,Male,,,1,,12/18/2020,0
50-59,Male,,,1,,12/19/2020,0
50-59,Male,,,1,,12/20/2020,0
50-59,Male,1,1,2,,12/21/2020,0
50-59,Male,,,1,1,12/22/2020,0
50-59,Male,,,1,,12/23/2020,0
50-59,Male,,,1,,12/24/2020,0
50-59,Male,,,1,,12/25/2020,0
50-59,Male,,,1,,12/26/2020,0
50-59,Male,,,1,,12/27/2020,0
50-59,Male,,,,1,12/28/2020,0
50-59,Male,0,0,0,0,12/29/2020,0
50-59,Male,0,0,0,0,12/30/2020,0
50-59,Male,0,0,0,0,12/31/2020,0
50-59,Male,3,3,3,,1/1/2021,0
50-59,Male,,,3,,1/2/2021,0
50-59,Male,,,3,,1/3/2021,0
50-59,Male,,,3,,1/4/2021,0
50-59,Male,,,3,,1/5/2021,0
50-59,Male,,,3,,1/6/2021,0
50-59,Male,,,3,,1/7/2021,0
50-59,Male,,,3,,1/8/2021,0
50-59,Male,1,1,4,,1/9/2021,0
50-59,Male,,,3,1,1/10/2021,0
50-59,Male,,,3,,1/11/2021,0
50-59,Male,,,3,,1/12/2021,0
50-59,Male,,,3,,1/13/2021,0
50-59,Male,,,2,1,1/14/2021,0
50-59,Male,1,1,2,1,1/15/2021,0
50-59,Male,1,1,3,,1/16/2021,0
50-59,Male,,,3,,1/17/2021,0
50-59,Male,,,3,,1/18/2021,0
50-59,Male,1,1,4,,1/19/2021,0
50-59,Male,,,4,,1/20/2021,0
50-59,Male,,,4,,1/21/2021,0
50-59,Male,,,4,,1/22/2021,0
50-59,Male,,,4,,1/23/2021,0
50-59,Male,,,3,1,1/24/2021,0
50-59,Male,,,2,1,1/25/2021,0
50-59,Male,,,2,,1/26/2021,0
50-59,Male,1,1,3,,1/27/2021,0
50-59,Male,,,2,1,1/28/2021,0
50-59,Male,,,2,,1/29/2021,0
50-59,Male,,,1,1,1/30/2021,0
50-59,Male,,,1,,1/31/2021,0
50-59,Male,,,1,,2/1/2021,0
50-59,Male,,,1,,2/2/2021,0
50-59,Male,,,1,,2/3/2021,0
50-59,Male,,,1,,2/4/2021,0
50-59,Male,,,,1,2/5/2021,0
50-59,Male,0,0,0,0,2/6/2021,0
50-59,Male,0,0,0,0,2/7/2021,0
50-59,Male,0,0,0,0,2/8/2021,0
50-59,Male,0,0,0,0,2/9/2021,0
50-59,Male,0,0,0,0,2/10/2021,0
50-59,Male,0,0,0,0,2/11/2021,0
50-59,Male,0,0,0,0,2/12/2021,0
50-59,Male,0,0,0,0,2/13/2021,0
50-59,Male,0,0,0,0,2/14/2021,0
50-59,Male,0,0,0,0,2/15/2021,0
50-59,Male,0,0,0,0,2/16/2021,0
50-59,Male,0,0,0,0,2/17/2021,0
50-59,Male,0,0,0,0,2/18/2021,0
50-59,Male,0,0,0,0,2/19/2021,0
50-59,Male,0,0,0,0,2/20/2021,0
50-59,Male,0,0,0,0,2/21/2021,0
50-59,Male,0,0,0,0,2/22/2021,0
50-59,Male,0,0,0,0,2/23/2021,0
50-59,Male,0,0,0,0,2/24/2021,0
50-59,Male,0,0,0,0,2/25/2021,0
50-59,Male,0,0,0,0,2/26/2021,0
50-59,Male,0,0,0,0,2/27/2021,0
50-59,Male,0,0,0,0,2/28/2021,0
50-59,Male,0,0,0,0,3/1/2021,0
50-59,Male,0,0,0,0,3/2/2021,0
50-59,Male,0,0,0,0,3/3/2021,0
50-59,Male,0,0,0,0,3/4/2021,0
50-59,Male,0,0,0,0,3/5/2021,0
50-59,Male,0,0,0,0,3/6/2021,0
50-59,Male,0,0,0,0,3/7/2021,0
50-59,Male,0,0,0,0,3/8/2021,0
50-59,Male,0,0,0,0,3/9/2021,0
50-59,Male,0,0,0,0,3/10/2021,0
50-59,Male,0,0,0,0,3/11/2021,0
50-59,Male,0,0,0,0,3/12/2021,0
50-59,Male,0,0,0,0,3/13/2021,0
50-59,Male,0,0,0,0,3/14/2021,0
50-59,Male,0,0,0,0,3/15/2021,0
50-59,Male,0,0,0,0,3/16/2021,0
50-59,Male,0,0,0,0,3/17/2021,0
50-59,Male,0,0,0,0,3/18/2021,0
50-59,Male,0,0,0,0,3/19/2021,0
50-59,Male,0,0,0,0,3/20/2021,0
50-59,Male,0,0,0,0,3/21/2021,0
50-59,Male,0,0,0,0,3/22/2021,0
50-59,Male,0,0,0,0,3/23/2021,0
50-59,Male,0,0,0,0,3/24/2021,0
50-59,Male,0,0,0,0,3/25/2021,0
50-59,Male,0,0,0,0,3/26/2021,0
50-59,Male,0,0,0,0,3/27/2021,0
50-59,Male,0,0,0,0,3/28/2021,0
50-59,Male,0,0,0,0,3/29/2021,0
50-59,Male,0,0,0,0,3/30/2021,0
50-59,Male,0,0,0,0,3/31/2021,0
50-59,Male,0,0,0,0,4/1/2021,0
50-59,Male,0,0,0,0,4/2/2021,0
50-59,Male,0,0,0,0,4/3/2021,0
50-59,Male,0,0,0,0,4/4/2021,0
50-59,Male,0,0,0,0,4/5/2021,0
50-59,Male,0,0,0,0,4/6/2021,0
50-59,Male,0,0,0,0,4/7/2021,0
50-59,Male,0,0,0,0,4/8/2021,0
50-59,Male,0,0,0,0,4/9/2021,0
50-59,Male,0,0,0,0,4/10/2021,0
50-59,Male,0,0,0,0,4/11/2021,0
50-59,Male,0,0,0,0,4/12/2021,0
50-59,Male,0,0,0,0,4/13/2021,0
50-59,Male,0,0,0,0,4/14/2021,0
50-59,Male,0,0,0,0,4/15/2021,0
50-59,Male,0,0,0,0,4/16/2021,0
50-59,Male,0,0,0,0,4/17/2021,0
50-59,Male,0,0,0,0,4/18/2021,0
50-59,Male,0,0,0,0,4/19/2021,0
50-59,Male,0,0,0,0,4/20/2021,0
50-59,Male,1,1,1,,4/21/2021,0
50-59,Male,,,1,,4/22/2021,0
50-59,Male,1,1,2,,4/23/2021,0
50-59,Male,,,2,,4/24/2021,0
50-59,Male,,,2,,4/25/2021,0
50-59,Male,,,2,,4/26/2021,0
50-59,Male,,,2,,4/27/2021,0
50-59,Male,1,1,3,,4/28/2021,0
50-59,Male,,,3,,4/29/2021,0
50-59,Male,,,3,,4/30/2021,0
50-59,Male,,,3,,5/1/2021,0
50-59,Male,,,2,1,5/2/2021,0
50-59,Male,,,2,,5/3/2021,0
50-59,Male,,,1,1,5/4/2021,0
50-59,Male,,,1,,5/5/2021,0
50-59,Male,,,1,,5/6/2021,0
50-59,Male,,,,1,5/7/2021,0
50-59,Male,1,1,1,,5/8/2021,0
50-59,Male,,,1,,5/9/2021,0
50-59,Male,,,1,,5/10/2021,0
50-59,Male,,,1,,5/11/2021,0
50-59,Male,,,1,,5/12/2021,0
50-59,Male,,,1,,5/13/2021,0
50-59,Male,,,1,,5/14/2021,0
50-59,Male,,,1,,5/15/2021,0
50-59,Male,,,1,,5/16/2021,0
50-59,Male,,,1,,5/17/2021,0
50-59,Male,,,1,,5/18/2021,0
50-59,Male,,,1,,5/19/2021,0
50-59,Male,,,1,,5/20/2021,0
50-59,Male,,,1,,5/21/2021,0
50-59,Male,,,,1,5/22/2021,0
50-59,Male,0,0,0,0,5/23/2021,0
50-59,Male,0,0,0,0,5/24/2021,0
50-59,Male,1,1,1,,5/25/2021,0
50-59,Male,,,1,,5/26/2021,0
50-59,Male,1,1,2,,5/27/2021,0
50-59,Male,,,2,,5/28/2021,0
50-59,Male,1,1,3,,5/29/2021,0
50-59,Male,,,3,,5/30/2021,0
50-59,Male,,,3,,5/31/2021,0
50-59,Male,1,1,4,,6/1/2021,0
50-59,Male,,,4,,6/2/2021,0
50-59,Male,,,4,,6/3/2021,0
50-59,Male,,,4,,6/4/2021,0
50-59,Male,2,2,6,,6/5/2021,0
50-59,Male,1,1,7,,6/6/2021,0
50-59,Male,,,6,1,6/7/2021,0
50-59,Male,,,6,,6/8/2021,0
50-59,Male,1,1,6,1,6/9/2021,0
50-59,Male,,,6,,6/10/2021,0
50-59,Male,,,5,1,6/11/2021,0
50-59,Male,,,5,,6/12/2021,0
50-59,Male,,,5,,6/13/2021,0
50-59,Male,1,1,6,,6/14/2021,0
50-59,Male,,,5,1,6/15/2021,0
50-59,Male,,,4,1,6/16/2021,0
50-59,Male,,,4,,6/17/2021,0
50-59,Male,,,3,1,6/18/2021,0
50-59,Male,,,3,,6/19/2021,0
50-59,Male,,,2,1,6/20/2021,0
50-59,Male,,,2,,6/21/2021,0
50-59,Male,,,2,,6/22/2021,0
50-59,Male,,,1,1,6/23/2021,0
50-59,Male,,,,1,6/24/2021,0
50-59,Male,0,0,0,0,6/25/2021,0
50-59,Male,0,0,0,0,6/26/2021,0
50-59,Male,0,0,0,0,6/27/2021,0
50-59,Male,0,0,0,0,6/28/2021,0
50-59,Male,1,1,1,,6/29/2021,0
50-59,Male,,,1,,6/30/2021,0
50-59,Male,,,1,,7/1/2021,0
50-59,Male,,,1,,7/2/2021,0
50-59,Male,,,1,,7/3/2021,0
50-59,Male,,,1,,7/4/2021,0
50-59,Male,,,1,,7/5/2021,0
50-59,Male,,,1,,7/6/2021,0
50-59,Male,,,1,,7/7/2021,0
50-59,Male,,,1,,7/8/2021,0
50-59,Male,,,1,,7/9/2021,0
50-59,Male,,,1,,7/10/2021,0
50-59,Male,,,1,,7/11/2021,0
50-59,Male,,,1,,7/12/2021,0
50-59,Male,,,1,,7/13/2021,0
50-59,Male,1,1,2,,7/14/2021,0
50-59,Male,1,1,3,,7/15/2021,0
50-59,Male,,,3,,7/16/2021,0
50-59,Male,,,2,1,7/17/2021,0
50-59,Male,,,2,,7/18/2021,0
50-59,Male,2,2,4,,7/19/2021,0
50-59,Male,1,1,5,,7/20/2021,0
50-59,Male,3,3,8,,7/21/2021,0
50-59,Male,1,1,9,,7/22/2021,0
50-59,Male,,,9,,7/23/2021,0
50-59,Male,2,2,11,,7/24/2021,0
50-59,Male,1,1,12,,7/25/2021,0
50-59,Male,,,12,,7/26/2021,0
50-59,Male,,,12,,7/27/2021,0
50-59,Male,,,12,,7/28/2021,0
50-59,Male,,,12,,7/29/2021,0
50-59,Male,,,12,,7/30/2021,0
50-59,Male,,,11,1,7/31/2021,0
50-59,Male,,,8,3,8/1/2021,0
50-59,Male,,,7,1,8/2/2021,0
50-59,Male,,,7,,8/3/2021,0
50-59,Male,,,5,2,8/4/2021,0
50-59,Male,1,1,6,,8/5/2021,0
50-59,Male,2,2,8,,8/6/2021,0
50-59,Male,,,7,1,8/7/2021,0
50-59,Male,,,6,1,8/8/2021,0
50-59,Male,1,1,6,1,8/9/2021,0
50-59,Male,1,1,5,2,8/10/2021,0
50-59,Male,2,2,7,,8/11/2021,0
50-59,Male,,,7,,8/12/2021,0
50-59,Male,1,1,7,1,8/13/2021,0
50-59,Male,,,7,,8/14/2021,0
50-59,Male,,,7,,8/15/2021,0
50-59,Male,1,1,8,,8/16/2021,0
50-59,Male,1,1,9,,8/17/2021,0
50-59,Male,1,1,10,,8/18/2021,0
50-59,Male,1,1,11,,8/19/2021,0
50-59,Male,1,1,11,1,8/20/2021,0
50-59,Male,3,3,13,1,8/21/2021,0
50-59,Male,1,1,13,1,8/22/2021,0
50-59,Male,1,1,13,1,8/23/2021,0
50-59,Male,2,2,15,,8/24/2021,0
50-59,Male,3,3,18,,8/25/2021,0
50-59,Male,,,18,,8/26/2021,0
50-59,Male,1,1,18,1,8/27/2021,0
50-59,Male,,,18,,8/28/2021,0
50-59,Male,1,1,18,1,8/29/2021,0
50-59,Male,6,6,24,,8/30/2021,0
50-59,Male,3,3,27,,8/31/2021,0
50-59,Male,13,13,38,2,9/1/2021,0
50-59,Male,13,13,48,3,9/2/2021,0
50-59,Male,7,7,52,3,9/3/2021,0
50-59,Male,7,7,58,1,9/4/2021,0
50-59,Male,13,13,69,2,9/5/2021,0
50-59,Male,10,10,77,2,9/6/2021,0
50-59,Male,8,8,83,2,9/7/2021,0
50-59,Male,16,16,98,1,9/8/2021,0
50-59,Male,16,16,111,3,9/9/2021,0
50-59,Male,17,17,128,,9/10/2021,0
50-59,Male,20,20,148,,9/11/2021,0
50-59,Male,22,22,166,4,9/12/2021,0
50-59,Male,16,16,180,2,9/13/2021,0
50-59,Male,18,18,190,8,9/14/2021,0
50-59,Male,22,22,207,5,9/15/2021,0
50-59,Male,28,28,223,12,9/16/2021,0
50-59,Male,29,29,247,5,9/17/2021,0
50-59,Male,32,32,270,9,9/18/2021,0
50-59,Male,23,23,280,13,9/19/2021,0
50-59,Male,26,26,289,17,9/20/2021,0
50-59,Male,23,23,294,18,9/21/2021,0
50-59,Male,37,37,321,10,9/22/2021,0
50-59,Male,34,34,346,9,9/23/2021,0
50-59,Male,38,38,370,15,9/24/2021,0
50-59,Male,30,30,389,11,9/25/2021,0
50-59,Male,28,28,410,6,9/26/2021,0
50-59,Male,49,49,443,16,9/27/2021,0
50-59,Male,47,47,473,17,9/28/2021,0
50-59,Male,61,61,519,16,9/29/2021,0
50-59,Male,56,56,521,53,9/30/2021,0
50-59,Male,59,59,542,38,10/1/2021,0
50-59,Male,55,55,541,54,10/2/2021,0
50-59,Male,66,66,591,16,10/3/2021,0
50-59,Male,99,99,687,2,10/4/2021,0
50-59,Male,75,75,691,71,10/5/2021,0
50-59,Male,84,84,727,49,10/6/2021,0
50-59,Male,86,86,807,3,10/7/2021,0
50-59,Male,94,94,838,61,10/8/2021,0
50-59,Male,84,84,894,28,10/9/2021,0
50-59,Male,79,79,935,37,10/10/2021,0
50-59,Male,67,67,945,56,10/11/2021,0
50-59,Male,69,69,954,61,10/12/2021,0
50-59,Male,118,118,1011,61,10/13/2021,0
50-59,Male,95,95,1052,53,10/14/2021,0
50-59,Male,82,82,1056,75,10/15/2021,0
50-59,Male,89,89,1142,3,10/16/2021,0
50-59,Male,82,82,1072,152,10/17/2021,0
50-59,Male,84,84,1063,92,10/18/2021,0
50-59,Male,85,85,1076,71,10/19/2021,0
50-59,Male,99,99,1083,92,10/20/2021,0
50-59,Male,97,97,1081,99,10/21/2021,0
50-59,Male,73,73,1078,76,10/22/2021,0
50-59,Male,103,103,1178,3,10/23/2021,0
50-59,Male,59,59,1163,74,10/24/2021,0
50-59,Male,68,68,1163,68,10/25/2021,0
50-59,Male,66,66,1130,99,10/26/2021,0
50-59,Male,74,74,1033,171,10/27/2021,0
50-59,Male,75,75,1106,2,10/28/2021,0
50-59,Male,57,57,984,178,10/29/2021,0
50-59,Male,35,35,1017,2,10/30/2021,0
50-59,Male,57,57,1001,73,10/31/2021,0
50-59,Male,35,35,848,188,11/1/2021,0
50-59,Male,29,29,796,81,11/2/2021,0
50-59,Male,34,34,738,92,11/3/2021,0
50-59,Male,47,47,780,4,11/4/2021,0
50-59,Male,44,44,661,163,11/5/2021,0
50-59,Male,41,41,643,59,11/6/2021,0
50-59,Male,33,33,613,64,11/7/2021,0
50-59,Male,42,42,598,57,11/8/2021,0
50-59,Male,37,37,571,64,11/9/2021,0
50-59,Male,64,64,604,30,11/10/2021,0
50-59,Male,45,45,622,27,11/11/2021,0
50-59,Male,45,45,647,20,11/12/2021,0
50-59,Male,28,28,663,12,11/13/2021,0
50-59,Male,34,34,670,26,11/14/2021,0
50-59,Male,34,34,541,162,11/15/2021,0
50-59,Male,34,34,544,29,11/16/2021,0
50-59,Male,29,29,527,46,11/17/2021,0
50-59,Male,48,48,531,45,11/18/2021,0
50-59,Male,35,35,349,216,11/19/2021,0
50-59,Male,51,51,354,46,11/20/2021,0
50-59,Male,36,36,345,45,11/21/2021,0
50-59,Male,31,31,345,31,11/22/2021,0
50-59,Male,35,35,346,35,11/23/2021,0
50-59,Male,61,61,378,29,11/24/2021,0
50-59,Male,56,56,394,39,11/25/2021,0
50-59,Male,54,54,417,31,11/26/2021,0
50-59,Male,51,51,422,46,11/27/2021,0
50-59,Male,50,50,436,35,11/28/2021,0
50-59,Male,47,47,440,43,11/29/2021,0
50-59,Male,49,49,454,35,11/30/2021,0
50-59,Male,75,75,495,34,12/1/2021,0
50-59,Male,59,59,512,43,12/2/2021,0
50-59,Male,80,80,591,1,12/3/2021,0
50-59,Male,33,33,624,,12/4/2021,0
50-59,Male,53,53,672,5,12/5/2021,0
50-59,Male,68,68,532,208,12/6/2021,0
50-59,Male,57,57,529,60,12/7/2021,0
50-59,Male,52,52,537,42,12/8/2021,0
50-59,Male,56,56,543,50,12/9/2021,0
50-59,Male,66,66,539,70,12/10/2021,0
50-59,Male,58,58,520,76,12/11/2021,0
50-59,Male,59,59,524,55,12/12/2021,0
50-59,Male,54,54,532,46,12/13/2021,0
50-59,Male,46,46,529,49,12/14/2021,0
50-59,Male,71,71,555,45,12/15/2021,0
50-59,Male,61,61,567,48,12/16/2021,0
50-59,Male,84,84,601,50,12/17/2021,0
50-59,Male,68,68,616,53,12/18/2021,0
50-59,Male,59,59,610,64,12/19/2021,0
50-59,Male,50,50,606,54,12/20/2021,0
50-59,Male,74,74,630,50,12/21/2021,0
50-59,Male,82,82,661,51,12/22/2021,0
50-59,Male,79,79,684,57,12/23/2021,0
50-59,Male,97,97,712,68,12/24/2021,0
50-59,Male,64,64,693,84,12/25/2021,0
50-59,Male,89,89,710,71,12/26/2021,0
50-59,Male,132,132,772,70,12/27/2021,0
50-59,Male,156,156,854,73,12/28/2021,0
50-59,Male,237,237,1044,46,12/29/2021,0
50-59,Male,231,231,1199,76,12/30/2021,0
50-59,Male,314,314,1023,490,12/31/2021,0
50-59,Male,267,267,1290,,1/1/2022,0
50-59,Male,369,369,1583,75,1/2/2022,0
50-59,Male,652,652,2035,198,1/3/2022,0
50-59,Male,700,700,2146,588,1/4/2022,0
50-59,Male,807,807,2420,533,1/5/2022,0
50-59,Male,787,787,2652,557,1/6/2022,0
50-59,Male,1932,1932,4134,449,1/7/2022,0
50-59,Male,1927,1927,5668,393,1/8/2022,0
50-59,Male,1577,1577,6417,829,1/9/2022,0
50-59,Male,1794,1794,7309,903,1/10/2022,0
50-59,Male,1822,1822,9107,25,1/11/2022,0
50-59,Male,1735,1735,9901,1515,1/12/2022,0
50-59,Male,1685,1685,10470,745,1/13/2022,0
50-59,Male,1190,1190,9590,1959,1/14/2022,0
50-59,Male,1437,1437,10266,774,1/15/2022,0
50-59,Male,1140,1140,10639,733,1/16/2022,0
50-59,Male,1050,1050,10710,945,1/17/2022,0
50-59,Male,1032,1032,10832,879,1/18/2022,0
50-59,Male,978,978,11742,55,1/19/2022,0
50-59,Male,851,851,11951,642,1/20/2022,0
50-59,Male,743,743,10596,2099,1/21/2022,0
50-59,Male,606,606,9233,1967,1/22/2022,0
50-59,Male,489,489,8832,891,1/23/2022,0
50-59,Male,645,645,8611,861,1/24/2022,0
50-59,Male,563,563,6500,2674,1/25/2022,0
50-59,Male,600,600,5460,1640,1/26/2022,0
50-59,Male,553,553,4489,1523,1/27/2022,0
50-59,Male,479,479,3370,1597,1/28/2022,0
50-59,Male,407,407,3263,514,1/29/2022,0
50-59,Male,384,384,3092,554,1/30/2022,0
50-59,Male,474,474,2938,628,1/31/2022,0
50-59,Male,524,524,2884,577,2/1/2022,0
50-59,Male,442,442,2627,699,2/2/2022,0
50-59,Male,423,423,2489,558,2/3/2022,0
50-59,Male,252,252,2370,371,2/4/2022,0
50-59,Male,227,227,2225,372,2/5/2022,0
50-59,Male,275,275,2126,374,2/6/2022,0
50-59,Male,324,324,1980,470,2/7/2022,0
50-59,Male,303,303,1894,389,2/8/2022,0
50-59,Male,310,310,1785,419,2/9/2022,0
50-59,Male,269,269,1764,290,2/10/2022,0
50-59,Male,234,234,1760,238,2/11/2022,0
50-59,Male,222,222,1726,256,2/12/2022,0
50-59,Male,208,208,1680,254,2/13/2022,0
50-59,Male,245,245,1576,348,2/14/2022,0
50-59,Male,212,212,1456,332,2/15/2022,0
50-59,Male,253,253,1427,282,2/16/2022,0
50-59,Male,203,203,1380,248,2/17/2022,0
50-59,Male,184,184,1359,205,2/18/2022,0
50-59,Male,148,148,1310,197,2/19/2022,0
50-59,Male,186,186,1294,202,2/20/2022,0
50-59,Male,201,201,1363,130,2/21/2022,0
50-59,Male,194,194,1183,373,2/22/2022,0
50-59,Male,229,229,1182,230,2/23/2022,0
50-59,Male,190,190,1208,164,2/24/2022,0
50-59,Male,191,191,1207,192,2/25/2022,0
50-59,Male,152,152,1202,157,2/26/2022,0
50-59,Male,160,160,1168,194,2/27/2022,0
50-59,Male,193,193,1170,191,2/28/2022,0
50-59,Male,197,197,1152,214,3/1/2022,0
50-59,Male,252,252,1192,212,3/2/2022,0
50-59,Male,195,195,1191,196,3/3/2022,0
50-59,Male,229,229,1238,182,3/4/2022,0
50-59,Male,208,208,1289,157,3/5/2022,0
50-59,Male,208,208,1329,168,3/6/2022,0
50-59,Male,242,242,1501,70,3/7/2022,0
50-59,Male,246,246,1399,348,3/8/2022,0
50-59,Male,321,321,1482,238,3/9/2022,0
50-59,Male,274,274,1754,2,3/10/2022,0
50-59,Male,249,249,1577,425,3/11/2022,0
50-59,Male,218,218,1581,214,3/12/2022,0
50-59,Male,216,216,1595,201,3/13/2022,0
50-59,Male,295,295,1619,271,3/14/2022,0
50-59,Male,391,391,1716,294,3/15/2022,0
50-59,Male,395,395,1811,299,3/16/2022,0
50-59,Male,384,384,1944,251,3/17/2022,0
50-59,Male,302,302,2008,238,3/18/2022,0
50-59,Male,271,271,2049,230,3/19/2022,0
50-59,Male,346,346,2161,234,3/20/2022,0
50-59,Male,397,397,2211,347,3/21/2022,0
50-59,Male,485,485,2286,410,3/22/2022,0
50-59,Male,502,502,2369,419,3/23/2022,0
50-59,Male,478,478,2493,353,3/24/2022,0
50-59,Male,381,381,2591,282,3/25/2022,0
50-59,Male,343,343,2624,310,3/26/2022,0
50-59,Male,377,377,2653,348,3/27/2022,0
50-59,Male,487,487,2685,455,3/28/2022,0
50-59,Male,526,526,2711,500,3/29/2022,0
50-59,Male,577,577,2757,529,3/30/2022,0
50-59,Male,515,515,2871,401,3/31/2022,0
50-59,Male,481,481,2993,359,4/1/2022,0
50-59,Male,396,396,3021,368,4/2/2022,0
50-59,Male,456,456,3082,395,4/3/2022,0
50-59,Male,522,522,3072,532,4/4/2022,0
50-59,Male,588,588,3111,549,4/5/2022,0
50-59,Male,610,610,3160,561,4/6/2022,0
50-59,Male,622,622,3240,542,4/7/2022,0
50-59,Male,460,460,3254,446,4/8/2022,0
50-59,Male,430,430,3260,424,4/9/2022,0
50-59,Male,476,476,3248,488,4/10/2022,0
50-59,Male,546,546,3237,557,4/11/2022,0
