agegroup,Sex,Cases,Cases_Male,Active_Cases,Cases_Female,Daily_Recovered,Date
60-69,Female,0,0,0,0,0,1/25/2020
60-69,Male,0,0,0,0,0,1/25/2020
60-69,Female,0,0,0,0,0,1/26/2020
60-69,Male,0,0,0,0,0,1/26/2020
60-69,Female,0,0,0,0,0,1/27/2020
60-69,Male,0,0,0,0,0,1/27/2020
60-69,Female,0,0,0,0,0,1/28/2020
60-69,Male,1,1,1,0,,1/28/2020
60-69,Female,0,0,0,0,0,1/29/2020
60-69,Male,,,1,0,,1/29/2020
60-69,Female,0,0,0,0,0,1/30/2020
60-69,Male,,,1,0,,1/30/2020
60-69,Female,0,0,0,0,0,1/31/2020
60-69,Male,,,1,0,,1/31/2020
60-69,Female,0,0,0,0,0,2/1/2020
60-69,Male,,,1,0,,2/1/2020
60-69,Female,0,0,0,0,0,2/2/2020
60-69,Male,,,1,0,,2/2/2020
60-69,Female,0,0,0,0,0,2/3/2020
60-69,Male,,,1,0,,2/3/2020
60-69,Female,0,0,0,0,0,2/4/2020
60-69,Male,,,1,0,,2/4/2020
60-69,Female,0,0,0,0,0,2/5/2020
60-69,Male,,,1,0,,2/5/2020
60-69,Female,0,0,0,0,0,2/6/2020
60-69,Male,,,1,0,,2/6/2020
60-69,Female,0,0,0,0,0,2/7/2020
60-69,Male,,,1,0,,2/7/2020
60-69,Female,0,0,0,0,0,2/8/2020
60-69,Male,,,1,0,,2/8/2020
60-69,Female,0,0,0,0,0,2/9/2020
60-69,Male,,,1,0,,2/9/2020
60-69,Female,0,0,0,0,0,2/10/2020
60-69,Male,,,1,0,,2/10/2020
60-69,Female,0,0,0,0,0,2/11/2020
60-69,Male,,,1,0,,2/11/2020
60-69,Female,0,0,0,0,0,2/12/2020
60-69,Male,,,1,0,,2/12/2020
60-69,Female,0,0,0,0,0,2/13/2020
60-69,Male,,,,0,1,2/13/2020
60-69,Female,0,0,0,0,0,2/14/2020
60-69,Male,0,0,0,0,0,2/14/2020
60-69,Female,0,0,0,0,0,2/15/2020
60-69,Male,0,0,0,0,0,2/15/2020
60-69,Female,0,0,0,0,0,2/16/2020
60-69,Male,0,0,0,0,0,2/16/2020
60-69,Female,0,0,0,0,0,2/17/2020
60-69,Male,0,0,0,0,0,2/17/2020
60-69,Female,0,0,0,0,0,2/18/2020
60-69,Male,0,0,0,0,0,2/18/2020
60-69,Female,0,0,0,0,0,2/19/2020
60-69,Male,0,0,0,0,0,2/19/2020
60-69,Female,0,0,0,0,0,2/20/2020
60-69,Male,0,0,0,0,0,2/20/2020
60-69,Female,0,0,0,0,0,2/21/2020
60-69,Male,0,0,0,0,0,2/21/2020
60-69,Female,1,0,1,1,,2/22/2020
60-69,Male,0,0,0,0,0,2/22/2020
60-69,Female,,0,1,,,2/23/2020
60-69,Male,0,0,0,0,0,2/23/2020
60-69,Female,,0,1,,,2/24/2020
60-69,Male,0,0,0,0,0,2/24/2020
60-69,Female,,0,1,,,2/25/2020
60-69,Male,1,1,1,0,,2/25/2020
60-69,Female,,0,,,1,2/26/2020
60-69,Male,,,,0,1,2/26/2020
60-69,Female,0,0,0,0,0,2/27/2020
60-69,Female,0,0,0,0,0,2/28/2020
60-69,Female,0,0,0,0,0,2/29/2020
60-69,Female,0,0,0,0,0,3/1/2020
60-69,Female,0,0,0,0,0,3/2/2020
60-69,Female,0,0,0,0,0,3/3/2020
60-69,Female,0,0,0,0,0,3/4/2020
60-69,Female,0,0,0,0,0,3/5/2020
60-69,Female,0,0,0,0,0,3/6/2020
60-69,Female,0,0,0,0,0,3/7/2020
60-69,Female,0,0,0,0,0,3/8/2020
60-69,Female,0,0,0,0,0,3/9/2020
60-69,Female,0,0,0,0,0,3/10/2020
60-69,Female,0,0,0,0,0,3/11/2020
60-69,Female,1,0,1,1,,3/12/2020
