agegroup,Sex,Cases,Cases_Male,Active_Cases,Cases_Female,Date,Daily_Recovered
70-79,Female,,0,3,,5/5/2020,
70-79,Female,,0,1,,5/6/2020,2
70-79,Female,,0,1,,5/7/2020,
70-79,Female,,0,1,,5/8/2020,
70-79,Female,,0,1,,5/9/2020,
70-79,Female,,0,1,,5/10/2020,
70-79,Female,1,0,2,1,5/11/2020,
70-79,Female,,0,2,,5/12/2020,
70-79,Female,,0,2,,5/13/2020,
70-79,Female,,0,2,,5/14/2020,
70-79,Female,,0,1,,5/15/2020,1
70-79,Female,,0,1,,5/16/2020,
70-79,Female,,0,,,5/17/2020,1
70-79,Female,0,0,0,0,5/18/2020,0
70-79,Female,0,0,0,0,5/19/2020,0
70-79,Female,0,0,0,0,5/20/2020,0
70-79,Female,0,0,0,0,5/21/2020,0
70-79,Female,0,0,0,0,5/22/2020,0
70-79,Female,0,0,0,0,5/23/2020,0
70-79,Female,0,0,0,0,5/24/2020,0
70-79,Female,1,0,1,1,5/25/2020,
70-79,Female,,0,1,,5/26/2020,
70-79,Female,,0,1,,5/27/2020,
70-79,Female,,0,1,,5/28/2020,
70-79,Female,,0,1,,5/29/2020,
70-79,Female,,0,1,,5/30/2020,
70-79,Female,,0,1,,5/31/2020,
70-79,Female,,0,1,,6/1/2020,
70-79,Female,,0,1,,6/2/2020,
70-79,Female,,0,1,,6/3/2020,
70-79,Female,,0,1,,6/4/2020,
70-79,Female,,0,1,,6/5/2020,
70-79,Female,,0,1,,6/6/2020,
70-79,Female,,0,,,6/7/2020,1
70-79,Female,0,0,0,0,6/8/2020,0
70-79,Female,0,0,0,0,6/9/2020,0
70-79,Female,0,0,0,0,6/10/2020,0
70-79,Female,0,0,0,0,6/11/2020,0
70-79,Female,0,0,0,0,6/12/2020,0
70-79,Female,1,0,1,1,6/13/2020,
70-79,Female,,0,1,,6/14/2020,
70-79,Female,,0,1,,6/15/2020,
70-79,Female,,0,1,,6/16/2020,
70-79,Female,,0,1,,6/17/2020,
70-79,Female,,0,1,,6/18/2020,
70-79,Female,1,0,2,1,6/19/2020,
70-79,Female,,0,2,,6/20/2020,
70-79,Female,,0,2,,6/21/2020,
70-79,Female,,0,2,,6/22/2020,
70-79,Female,,0,2,,6/23/2020,
70-79,Female,,0,2,,6/24/2020,
70-79,Female,,0,2,,6/25/2020,
70-79,Female,1,0,2,1,6/26/2020,1
70-79,Female,1,0,3,1,6/27/2020,
70-79,Female,1,0,4,1,6/28/2020,
70-79,Female,1,0,5,1,6/29/2020,
70-79,Female,1,0,6,1,6/30/2020,
70-79,Female,1,0,6,1,7/1/2020,1
70-79,Female,,0,6,,7/2/2020,
70-79,Female,1,0,7,1,7/3/2020,
70-79,Female,2,0,8,2,7/4/2020,1
70-79,Female,2,0,10,2,7/5/2020,
70-79,Female,4,0,14,4,7/6/2020,
70-79,Female,5,0,19,5,7/7/2020,
70-79,Female,1,0,19,1,7/8/2020,1
70-79,Female,4,0,22,4,7/9/2020,1
70-79,Female,2,0,24,2,7/10/2020,
70-79,Female,2,0,24,2,7/11/2020,2
70-79,Female,5,0,29,5,7/12/2020,
70-79,Female,5,0,34,5,7/13/2020,
70-79,Female,3,0,37,3,7/14/2020,2
70-79,Female,3,0,38,3,7/15/2020,1
70-79,Female,4,0,41,4,7/16/2020,
70-79,Female,1,0,40,1,7/17/2020,2
70-79,Female,6,0,47,6,7/18/2020,2
70-79,Female,2,0,46,2,7/19/2020,1
70-79,Female,7,0,53,7,7/20/2020,
70-79,Female,13,0,66,13,7/21/2020,2
70-79,Female,7,0,65,7,7/22/2020,4
70-79,Female,2,0,65,2,7/23/2020,2
70-79,Female,9,0,78,9,7/24/2020,
70-79,Female,13,0,87,13,7/25/2020,3
70-79,Female,16,0,99,16,7/26/2020,1
70-79,Female,8,0,107,8,7/27/2020,2
70-79,Female,2,0,103,2,7/28/2020,3
70-79,Female,12,0,115,12,7/29/2020,1
70-79,Female,12,0,120,12,7/30/2020,3
70-79,Female,7,0,120,7,7/31/2020,5
70-79,Female,9,0,127,9,8/1/2020,4
70-79,Female,8,0,130,8,8/2/2020,
70-79,Female,11,0,137,11,8/3/2020,4
70-79,Female,22,0,161,22,8/4/2020,
70-79,Female,10,0,163,10,8/5/2020,4
70-79,Female,15,0,178,15,8/6/2020,2
70-79,Female,5,0,180,5,8/7/2020,
70-79,Female,2,0,177,2,8/8/2020,3
70-79,Female,4,0,176,4,8/9/2020,6
70-79,Female,6,0,176,6,8/10/2020,5
70-79,Female,8,0,178,8,8/11/2020,4
70-79,Female,7,0,183,7,8/12/2020,1
70-79,Female,10,0,190,10,8/13/2020,3
70-79,Female,3,0,188,3,8/14/2020,3
70-79,Female,12,0,192,12,8/15/2020,7
70-79,Female,6,0,191,6,8/16/2020,5
70-79,Female,7,0,188,7,8/17/2020,10
70-79,Female,9,0,185,9,8/18/2020,10
70-79,Female,7,0,185,7,8/19/2020,7
70-79,Female,4,0,181,4,8/20/2020,10
70-79,Female,2,0,174,2,8/21/2020,5
70-79,Female,4,0,171,4,8/22/2020,6
70-79,Female,2,0,168,2,8/23/2020,6
70-79,Female,2,0,163,2,8/24/2020,7
70-79,Female,7,0,162,7,8/25/2020,6
70-79,Female,1,0,157,1,8/26/2020,8
70-79,Female,3,0,146,3,8/27/2020,13
70-79,Female,1,0,139,1,8/28/2020,8
70-79,Female,2,0,128,2,8/29/2020,11
70-79,Female,1,0,125,1,8/30/2020,4
70-79,Female,2,0,124,2,8/31/2020,3
70-79,Female,1,0,116,1,9/1/2020,8
70-79,Female,2,0,106,2,9/2/2020,11
70-79,Female,4,0,102,4,9/3/2020,7
70-79,Female,2,0,93,2,9/4/2020,11
70-79,Female,1,0,84,1,9/5/2020,10
70-79,Female,,0,81,,9/6/2020,3
70-79,Female,,0,74,,9/7/2020,6
70-79,Female,2,0,69,2,9/8/2020,6
70-79,Female,4,0,61,4,9/9/2020,14
70-79,Female,,0,51,,9/10/2020,7
70-79,Female,1,0,54,1,9/11/2020,
70-79,Female,,0,45,,9/12/2020,7
70-79,Female,,0,44,,9/13/2020,
70-79,Female,,0,41,,9/14/2020,3
70-79,Female,,0,39,,9/15/2020,1
70-79,Female,,0,37,,9/16/2020,2
70-79,Female,2,0,36,2,9/17/2020,4
70-79,Female,,0,33,,9/18/2020,2
70-79,Female,,0,30,,9/19/2020,3
70-79,Female,,0,29,,9/20/2020,
70-79,Female,,0,26,,9/21/2020,4
70-79,Female,1,0,22,1,9/22/2020,4
70-79,Female,,0,18,,9/23/2020,4
70-79,Female,,0,16,,9/24/2020,1
70-79,Female,,0,14,,9/25/2020,2
70-79,Female,,0,13,,9/26/2020,1
70-79,Female,,0,12,,9/27/2020,1
70-79,Female,,0,10,,9/28/2020,1
70-79,Female,,0,10,,9/29/2020,
70-79,Female,1,0,10,1,9/30/2020,1
70-79,Female,,0,8,,10/1/2020,2
70-79,Female,,0,8,,10/2/2020,
70-79,Female,,0,8,,10/3/2020,
70-79,Female,,0,8,,10/4/2020,
70-79,Female,,0,7,,10/5/2020,1
70-79,Female,,0,7,,10/6/2020,
70-79,Female,,0,5,,10/7/2020,2
70-79,Female,,0,4,,10/8/2020,1
70-79,Female,1,0,5,1,10/9/2020,
70-79,Female,,0,5,,10/10/2020,
70-79,Female,1,0,6,1,10/11/2020,
70-79,Female,1,0,7,1,10/12/2020,
70-79,Female,1,0,8,1,10/13/2020,
70-79,Female,,0,8,,10/14/2020,
70-79,Female,,0,8,,10/15/2020,
70-79,Female,,0,8,,10/16/2020,
70-79,Female,,0,8,,10/17/2020,
70-79,Female,,0,8,,10/18/2020,
70-79,Female,,0,7,,10/19/2020,1
70-79,Female,,0,7,,10/20/2020,
70-79,Female,,0,7,,10/21/2020,
70-79,Female,,0,7,,10/22/2020,
70-79,Female,,0,7,,10/23/2020,
70-79,Female,,0,7,,10/24/2020,
70-79,Female,,0,7,,10/25/2020,
70-79,Female,,0,6,,10/26/2020,1
70-79,Female,,0,5,,10/27/2020,1
70-79,Female,,0,5,,10/28/2020,
70-79,Female,,0,5,,10/29/2020,
70-79,Female,,0,5,,10/30/2020,
70-79,Female,,0,5,,10/31/2020,
70-79,Female,,0,5,,11/1/2020,
70-79,Female,,0,5,,11/2/2020,
70-79,Female,,0,5,,11/3/2020,
70-79,Female,,0,5,,11/4/2020,
70-79,Female,,0,5,,11/5/2020,
70-79,Female,,0,4,,11/6/2020,1
70-79,Female,,0,4,,11/7/2020,
70-79,Female,,0,4,,11/8/2020,
70-79,Female,,0,4,,11/9/2020,
70-79,Female,,0,4,,11/10/2020,
70-79,Female,,0,4,,11/11/2020,
70-79,Female,,0,4,,11/12/2020,
70-79,Female,,0,4,,11/13/2020,
70-79,Female,,0,4,,11/14/2020,
70-79,Female,,0,4,,11/15/2020,
70-79,Female,,0,4,,11/16/2020,
70-79,Female,,0,4,,11/17/2020,
